id,name,note,createdAt,updatedAt
1,中国大陆,,2016/8/24,2016/8/24
2,中国港澳台,,2016/8/24,2016/8/24
3,韩国,,2016/8/24,2016/8/24
4,朝鲜,,2016/8/24,2016/8/24
5,日本,,2016/8/24,2016/8/24
6,马来西亚,,2016/8/24,2016/8/24
7,印度,,2016/8/24,2016/8/24
8,巴基斯坦,,2016/8/24,2016/8/24
9,泰国,,2016/8/24,2016/8/24
10,越南,,2016/8/24,2016/8/24
11,斯里兰卡,,2016/8/24,2016/8/24
12,缅甸,,2016/8/24,2016/8/24
13,孟加拉国,,2016/8/24,2016/8/24
14,不丹,,2016/8/24,2016/8/24
15,阿富汗,,2016/8/24,2016/8/24
16,柬埔寨,,2016/8/24,2016/8/24
17,尼泊尔,,2016/8/24,2016/8/24
18,老挝,,2016/8/24,2016/8/24
19,以色列,,2016/8/24,2016/8/24
20,也门,,2016/8/24,2016/8/24
21,菲律宾,,2016/8/24,2016/8/24
22,新加坡,,2016/8/24,2016/8/24
23,马尔代夫,,2016/8/24,2016/8/24
24,文莱,,2016/8/24,2016/8/24
25,东帝汶,,2016/8/24,2016/8/24
26,印度尼西亚,,2016/8/24,2016/8/24
27,伊拉克,,2016/8/24,2016/8/24
28,伊朗,,2016/8/24,2016/8/24
29,约旦,,2016/8/24,2016/8/24
30,沙特阿拉伯,,2016/8/24,2016/8/24
31,阿联酋,,2016/8/24,2016/8/24
32,阿曼,,2016/8/24,2016/8/24
33,科威特,,2016/8/24,2016/8/24
34,巴林,,2016/8/24,2016/8/24
35,叙利亚,,2016/8/24,2016/8/24
36,巴勒斯坦,,2016/8/24,2016/8/24
37,卡塔尔,,2016/8/24,2016/8/24
38,黎巴嫩,,2016/8/24,2016/8/24
39,蒙古,,2016/8/24,2016/8/24
40,土耳其,,2016/8/24,2016/8/24
41,哈萨克斯坦,,2016/8/24,2016/8/24
42,乌兹别克斯坦,,2016/8/24,2016/8/24
43,吉尔吉斯斯坦,,2016/8/24,2016/8/24
44,塔吉克斯坦,,2016/8/24,2016/8/24
45,土库曼斯坦,,2016/8/24,2016/8/24
46,阿塞拜疆,,2016/8/24,2016/8/24
47,格鲁吉亚,,2016/8/24,2016/8/24
48,亚美尼亚,,2016/8/24,2016/8/24
49,塞浦路斯,,2016/8/24,2016/8/24
50,克什米尔,,2016/8/24,2016/8/24
51,俄罗斯,,2016/8/24,2016/8/24
52,英国,,2016/8/24,2016/8/24
53,罗马尼亚,,2016/8/24,2016/8/24
54,法国,,2016/8/24,2016/8/24
55,波兰,,2016/8/24,2016/8/24
56,瑞士,,2016/8/24,2016/8/24
57,瑞典,,2016/8/24,2016/8/24
58,意大利,,2016/8/24,2016/8/24
59,德国,,2016/8/24,2016/8/24
60,摩纳哥,,2016/8/24,2016/8/24
61,拉脱维亚,,2016/8/24,2016/8/24
62,希腊,,2016/8/24,2016/8/24
63,阿尔巴尼亚,,2016/8/24,2016/8/24
64,挪威,,2016/8/24,2016/8/24
65,塞尔维亚,,2016/8/24,2016/8/24
66,保加利亚,,2016/8/24,2016/8/24
67,爱沙尼亚,,2016/8/24,2016/8/24
68,立陶宛,,2016/8/24,2016/8/24
69,荷兰,,2016/8/24,2016/8/24
70,爱尔兰,,2016/8/24,2016/8/24
71,捷克,,2016/8/24,2016/8/24
72,斯洛伐克,,2016/8/24,2016/8/24
73,葡萄牙,,2016/8/24,2016/8/24
74,斯洛文尼亚,,2016/8/24,2016/8/24
75,马其顿,,2016/8/24,2016/8/24
76,克罗地亚,,2016/8/24,2016/8/24
77,梵蒂冈,,2016/8/24,2016/8/24
78,比利时,,2016/8/24,2016/8/24
79,马耳他,,2016/8/24,2016/8/24
80,丹麦,,2016/8/24,2016/8/24
81,卢森堡,,2016/8/24,2016/8/24
82,波斯尼亚和黑塞哥维那,,2016/8/24,2016/8/24
83,西班牙,,2016/8/24,2016/8/24
84,圣马力诺,,2016/8/24,2016/8/24
85,匈牙利,,2016/8/24,2016/8/24
86,列支敦士登,,2016/8/24,2016/8/24
87,冰岛,,2016/8/24,2016/8/24
88,安道尔,,2016/8/24,2016/8/24
89,芬兰,,2016/8/24,2016/8/24
90,俄罗斯,,2016/8/24,2016/8/24
91,奥地利,,2016/8/24,2016/8/24
92,乌克兰,,2016/8/24,2016/8/24
93,白俄罗斯,,2016/8/24,2016/8/24
94,摩尔多瓦,,2016/8/24,2016/8/24
95,黑山,,2016/8/24,2016/8/24
96,安哥拉,,2016/8/24,2016/8/24
97,埃塞俄比亚,,2016/8/24,2016/8/24
98,埃及,,2016/8/24,2016/8/24
99,中非,,2016/8/24,2016/8/24
100,几内亚,,2016/8/24,2016/8/24
101,几内亚比绍,,2016/8/24,2016/8/24
102,博茨瓦纳,,2016/8/24,2016/8/24
103,布基纳法索,,2016/8/24,2016/8/24
104,马达加斯加,,2016/8/24,2016/8/24
105,马里,,2016/8/24,2016/8/24
106,马拉维,,2016/8/24,2016/8/24
107,刚果民主共和国,,2016/8/24,2016/8/24
108,赤道几内亚,,2016/8/24,2016/8/24
109,冈比亚,,2016/8/24,2016/8/24
110,贝宁,,2016/8/24,2016/8/24
111,毛里求斯,,2016/8/24,2016/8/24
112,毛里塔尼亚,,2016/8/24,2016/8/24
113,乌干达,,2016/8/24,2016/8/24
114,塞舌尔,,2016/8/24,2016/8/24
115,塞拉利昂,,2016/8/24,2016/8/24
116,摩洛哥,,2016/8/24,2016/8/24
117,布隆迪,,2016/8/24,2016/8/24
118,卢旺达,,2016/8/24,2016/8/24
119,乍得,,2016/8/24,2016/8/24
120,尼日尔,,2016/8/24,2016/8/24
121,尼日利亚,,2016/8/24,2016/8/24
122,加纳,,2016/8/24,2016/8/24
123,加蓬,,2016/8/24,2016/8/24
124,圣多美和普林西比,,2016/8/24,2016/8/24
125,吉布提,,2016/8/24,2016/8/24
126,刚果,,2016/8/24,2016/8/24
127,多哥,,2016/8/24,2016/8/24
128,苏丹,,2016/8/24,2016/8/24
129,利比亚,,2016/8/24,2016/8/24
130,利比里亚,,2016/8/24,2016/8/24
131,佛得角,,2016/8/24,2016/8/24
132,阿尔及利亚,,2016/8/24,2016/8/24
133,纳米比亚,,2016/8/24,2016/8/24
134,厄立特里亚,,2016/8/24,2016/8/24
135,斯威士兰,,2016/8/24,2016/8/24
136,赞比亚,,2016/8/24,2016/8/24
137,坦桑尼亚,,2016/8/24,2016/8/24
138,肯尼亚,,2016/8/24,2016/8/24
139,南非,,2016/8/24,2016/8/24
140,科摩罗,,2016/8/24,2016/8/24
141,津巴布韦,,2016/8/24,2016/8/24
142,突尼斯,,2016/8/24,2016/8/24
143,莱索托,,2016/8/24,2016/8/24
144,莫桑比克,,2016/8/24,2016/8/24
145,索马里,,2016/8/24,2016/8/24
146,科特迪瓦,,2016/8/24,2016/8/24
147,喀麦隆,,2016/8/24,2016/8/24
148,塞内加尔,,2016/8/24,2016/8/24
149,南苏丹,,2016/8/24,2016/8/24
150,美国,,2016/8/24,2016/8/24
151,加拿大,,2016/8/24,2016/8/24
152,秘鲁,,2016/8/24,2016/8/24
153,海地,,2016/8/24,2016/8/24
154,萨尔瓦多,,2016/8/24,2016/8/24
155,智利,,2016/8/24,2016/8/24
156,古巴,,2016/8/24,2016/8/24
157,尼加拉瓜,,2016/8/24,2016/8/24
158,巴哈马,,2016/8/24,2016/8/24
159,巴拿马,,2016/8/24,2016/8/24
160,玻利维亚,,2016/8/24,2016/8/24
161,格林纳达,,2016/8/24,2016/8/24
162,巴拉圭,,2016/8/24,2016/8/24
163,巴西,,2016/8/24,2016/8/24
164,洪都拉斯,,2016/8/24,2016/8/24
165,厄瓜多尔,,2016/8/24,2016/8/24
166,牙买加,,2016/8/24,2016/8/24
167,乌拉圭,,2016/8/24,2016/8/24
168,巴巴多斯,,2016/8/24,2016/8/24
169,圣卢西亚,,2016/8/24,2016/8/24
170,圭亚那,,2016/8/24,2016/8/24
171,危地马拉,,2016/8/24,2016/8/24
172,多米尼加,,2016/8/24,2016/8/24
173,墨西哥,,2016/8/24,2016/8/24
174,多米尼克,,2016/8/24,2016/8/24
175,阿根廷,,2016/8/24,2016/8/24
176,委内瑞拉,,2016/8/24,2016/8/24
177,哥伦比亚,,2016/8/24,2016/8/24
178,安提瓜和巴布达,,2016/8/24,2016/8/24
179,苏里南,,2016/8/24,2016/8/24
180,伯利兹,,2016/8/24,2016/8/24
181,哥斯达黎加,,2016/8/24,2016/8/24
182,特立尼达和多巴哥,,2016/8/24,2016/8/24
183,澳大利亚,,2016/8/24,2016/8/24
184,新西兰,,2016/8/24,2016/8/24
185,斐济,,2016/8/24,2016/8/24
186,汤加,,2016/8/24,2016/8/24
187,巴布亚新几内亚,,2016/8/24,2016/8/24
188,图瓦卢,,2016/8/24,2016/8/24
189,所罗门群岛,,2016/8/24,2016/8/24
190,瑙鲁,,2016/8/24,2016/8/24
191,基里巴斯,,2016/8/24,2016/8/24
192,马绍尔群岛,,2016/8/24,2016/8/24
193,帕劳,,2016/8/24,2016/8/24
194,密克罗尼西亚联邦,,2016/8/24,2016/8/24
195,克什米尔,,2016/8/24,2016/8/24
196,库克群岛,,2016/8/24,2016/8/24
197,法属波利尼西亚,,2016/8/24,2016/8/24
198,北马里亚纳群岛,,2016/8/24,2016/8/24
199,百慕大群岛(英),,2016/8/24,2016/8/24
200,美属维尔京群岛,,2016/8/24,2016/8/24
201,马提尼克岛(法),,2016/8/24,2016/8/24
202,加那利群岛,,2016/8/24,2016/8/24
203,马尔维纳斯群岛,,2016/8/24,2016/8/24
204,西撒哈拉,,2016/8/24,2016/8/24
205,美属萨摩亚,,2016/8/24,2016/8/24
206,法属圭亚那,,2016/8/24,2016/8/24
207,关岛(美),,2016/8/24,2016/8/24
208,开曼群岛,,2016/8/24,2016/8/24
209,英属维尔京群岛,,2016/8/24,2016/8/24
210,阿鲁巴(荷),,2016/8/24,2016/8/24
211,圣赫勒拿,,2016/8/24,2016/8/24
212,新喀里多尼克,,2016/8/24,2016/8/24
213,纽埃(新),,2016/8/24,2016/8/24
214,皮特凯恩(英),,2016/8/24,2016/8/24
215,格陵兰(丹),,2016/8/24,2016/8/24
216,波多黎各岛(美),,2016/8/24,2016/8/24
217,瓜德罗普岛(法),,2016/8/24,2016/8/24
218,荷属安的列斯,,2016/8/24,2016/8/24
219,留尼汪,,2016/8/24,2016/8/24
220,其他,,2016/8/24,2016/8/24
